Q35,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q53,Q54,Q55,Q56,Q57,Q59,Q60,Q63,Q64,Q65,Q66,Q69,Q70,Q32,Q33,Q34,Q20,Q21,Q38,Q8,Q13
3,3,3,3,3,1,1,3,4,4,4,4,4,4,2,2,2,42,4,1,1,3,41,2,2,1,35,10,1,5,2,4,4,3,3,4
1,2,1,3,3,1,1,4,4,3,2,1,4,3,1,2,2,52,5,1,2,3,41,2,2,1,32,10,5,1,1,1,4,5,1,3
2,3,3,3,3,2,1,1,4,1,4,4,4,4,1,2,2,51,6,1,1,4,41,1,2,2,33,10,3,1,2,1,4,3,2,2
1,3,2,2,2,1,2,2,4,1,4,1,2,4,4,2,3,68,6,1,1,4,41,2,2,2,34,10,2,1,2,4,4,5,2,3
2,5,3,3,1,4,4,3,4,3,4,2,4,4,2,2,4,86,6,1,2,3,44,2,2,2,33,10,4,1,3,3,3,1,4,4
2,3,1,1,1,1,2,4,4,1,4,1,4,4,1,2,2,34,6,1,2,2,41,2,2,1,32,10,3,4,4,1,4,5,2,2
2,2,3,3,2,3,2,2,4,1,4,1,2,4,4,1,2,75,5,1,1,1,41,2,1,1,34,10,2,3,2,1,2,4,2,2
1,3,1,3,3,1,2,1,4,4,4,4,4,4,4,1,99,53,3,1,3,99,41,2,2,2,31,10,2,1,2,3,4,2,3,2
1,3,2,3,3,3,2,4,4,1,2,1,1,4,3,2,2,60,7,1,1,5,41,2,2,1,34,10,2,3,3,1,4,4,2,2
2,5,4,4,4,3,4,4,4,2,3,4,3,4,1,1,2,48,4,1,3,1,41,1,2,2,31,10,3,3,4,4,4,5,4,4
2,3,1,2,1,2,1,4,4,1,4,1,3,4,1,2,2,62,4,1,2,2,51,2,2,2,31,10,3,1,3,1,4,5,2,3
1,1,1,1,1,1,2,4,4,4,4,1,4,4,2,2,2,73,3,1,1,3,66,2,2,1,31,10,3,1,3,3,3,5,1,1
2,3,2,2,2,2,3,2,4,1,4,2,3,3,2,2,3,52,6,1,2,99,41,2,2,2,35,10,2,1,3,3,3,3,2,3
3,3,3,2,1,3,3,3,4,1,4,1,1,4,1,2,2,52,4,1,1,3,41,2,2,2,33,10,5,3,4,4,4,5,3,3
2,5,1,2,4,3,3,4,3,4,4,4,4,4,4,2,1,26,4,1,3,5,41,2,2,2,31,10,5,5,4,4,4,4,3,3
2,3,3,3,2,2,1,4,4,4,4,3,2,4,3,1,1,28,4,1,1,2,41,2,2,1,35,10,4,5,3,1,1,3,1,1
2,5,3,4,3,2,2,4,4,4,4,4,3,4,4,1,2,70,7,1,1,1,21,2,2,1,35,10,2,5,3,4,4,5,3,3
2,4,3,3,3,4,4,1,4,2,4,2,2,2,4,2,1,37,6,1,1,2,41,2,2,1,34,10,3,3,4,4,4,2,4,3
4,3,3,3,2,4,4,4,3,2,4,3,3,3,2,2,2,38,6,1,2,4,41,2,2,2,33,10,4,5,3,2,4,4,3,3
2,3,4,3,3,3,3,2,4,2,4,2,3,4,2,1,2,63,5,1,2,4,52,2,2,2,44,10,3,5,2,3,4,5,3,3
1,1,3,3,1,1,2,3,4,2,4,3,4,4,3,1,2,57,6,1,1,3,41,2,1,2,31,10,2,1,2,4,3,5,3,2
4,3,3,3,3,3,3,2,4,1,4,1,1,2,1,2,2,48,6,1,2,3,41,2,2,2,31,10,4,3,3,1,3,5,4,3
1,3,1,1,2,3,2,4,4,2,4,4,4,2,4,1,2,68,4,1,1,5,68,1,2,1,35,10,2,1,1,1,2,5,2,1
1,3,2,2,2,1,1,4,4,1,4,1,4,1,3,2,2,38,7,1,1,5,41,2,2,2,32,10,1,5,2,1,4,3,1,1
3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,1,1,30,5,1,2,1,41,1,2,1,31,10,5,5,5,2,2,5,3,2
1,3,3,1,3,1,2,2,4,1,4,1,4,4,1,1,2,50,3,1,1,3,41,2,2,2,31,10,3,1,3,3,2,3,2,1
4,4,3,3,4,4,4,3,4,2,4,2,2,4,1,2,2,55,8,1,1,4,41,2,2,1,34,10,3,4,4,2,3,4,3,4
3,5,4,4,3,2,3,3,4,1,2,2,3,3,2,2,2,65,7,1,1,5,41,2,2,1,34,10,3,5,2,2,2,4,3,4
2,2,1,1,2,1,1,1,4,1,4,1,4,4,2,2,2,63,6,1,1,99,41,2,2,2,33,10,3,1,2,3,4,5,2,2
3,4,4,3,3,4,4,3,4,2,4,2,4,4,4,2,3,59,7,1,1,2,15,2,2,2,34,10,3,5,3,3,3,3,3,4
2,3,3,2,1,2,3,4,4,2,4,1,1,4,2,1,1,34,6,1,1,1,41,2,2,1,31,10,3,5,3,2,2,5,2,2
3,4,4,3,3,3,4,3,1,1,4,2,4,1,1,1,2,92,3,1,2,5,78,2,1,1,32,10,2,3,4,4,3,4,3,4
1,1,2,2,1,1,1,4,4,1,4,4,4,2,1,1,2,65,6,1,2,3,41,2,2,1,33,10,2,1,1,1,1,5,1,1
1,3,3,3,2,1,1,4,4,1,3,3,1,3,1,1,1,29,4,1,2,5,41,2,2,2,32,10,3,3,3,1,4,3,3,3
1,3,3,2,2,1,2,4,4,1,4,1,4,4,1,2,2,63,7,1,1,4,41,2,1,1,34,10,3,1,2,4,4,5,2,2
2,3,1,2,2,1,1,3,4,4,4,4,2,4,1,2,2,57,3,1,2,1,54,2,2,2,31,10,1,1,2,3,2,5,3,1
3,3,4,1,3,2,2,3,3,1,4,4,1,4,3,2,2,52,5,1,1,1,25,2,2,2,35,10,5,3,5,4,4,5,3,3
2,3,2,2,3,1,3,4,4,1,4,1,3,4,1,2,3,59,6,1,1,4,41,2,2,2,33,10,3,5,3,3,4,5,3,3
2,3,3,2,2,3,1,3,4,4,4,1,2,3,2,2,2,54,5,1,1,3,41,2,2,1,31,10,3,1,2,3,4,5,3,3
1,4,4,4,3,2,3,3,4,1,4,2,2,4,1,2,2,42,6,1,1,3,41,2,2,2,31,10,3,1,3,2,4,2,3,4
3,4,4,3,4,3,4,3,4,3,4,3,4,4,4,1,2,62,5,7,1,1,16,2,2,2,31,10,3,5,3,4,3,3,3,4
2,3,2,3,1,2,4,3,3,2,4,3,1,4,4,2,2,37,6,1,1,3,41,2,2,1,34,10,2,5,3,3,4,5,3,2
2,4,3,4,4,3,2,4,4,3,4,3,4,4,4,1,2,49,3,1,2,1,41,1,2,2,44,10,3,3,4,3,3,5,4,4
3,3,2,2,4,2,1,2,4,2,3,1,1,2,1,1,2,46,6,1,1,5,41,2,1,1,35,10,2,3,3,2,1,4,3,3
3,3,3,1,3,4,3,3,4,2,4,4,1,4,1,1,2,61,4,1,1,2,22,2,2,1,32,10,1,1,2,3,3,5,3,3
3,3,2,4,3,4,4,3,4,4,4,3,2,2,1,1,1,47,3,1,2,3,41,2,2,1,33,10,5,3,3,4,3,4,4,3
2,5,1,3,2,1,1,1,4,4,4,4,4,4,4,1,1,26,5,1,1,3,41,1,2,1,35,10,4,3,2,3,4,3,1,3
1,3,2,3,3,2,1,4,4,2,4,1,1,4,4,2,2,67,7,1,1,99,41,2,2,2,34,10,1,1,2,1,4,4,2,1
1,5,3,3,1,4,4,1,4,2,4,3,4,4,4,2,2,80,7,1,1,1,22,2,2,1,33,10,3,1,3,2,4,3,3,3
4,3,3,4,1,2,4,1,4,1,4,4,4,4,1,1,2,65,2,1,2,1,61,1,1,1,35,10,2,5,4,4,1,1,3,4
1,3,3,4,4,3,3,3,4,4,3,3,2,3,1,1,2,44,4,99,99,1,27,2,2,2,31,10,4,5,1,1,1,5,3,3
3,3,2,3,4,2,3,4,4,1,3,3,4,4,1,1,2,43,6,1,1,3,26,2,1,1,44,10,3,1,5,4,4,4,4,4
2,3,3,3,3,3,2,3,4,1,4,4,3,3,2,2,2,63,6,1,1,3,41,1,2,1,32,10,3,1,4,2,4,3,2,2
4,3,1,2,4,4,4,4,4,3,4,1,4,4,4,2,1,37,4,1,2,3,41,2,2,1,32,10,3,3,3,3,3,5,4,4
3,3,4,3,4,2,2,4,4,2,4,4,4,1,3,1,1,32,5,1,1,1,41,2,2,1,35,10,1,5,4,3,2,5,2,1
1,1,1,1,2,1,1,1,4,1,2,1,4,1,1,1,3,65,5,1,1,99,41,1,2,1,32,10,1,1,1,4,1,1,2,1
3,1,3,3,4,3,4,4,4,4,4,1,3,4,4,2,2,70,7,1,1,1,20,2,2,2,35,10,5,1,3,1,4,5,3,1
2,3,3,3,4,2,2,3,4,2,3,2,3,4,3,2,4,82,5,1,1,99,66,2,2,2,32,10,4,5,3,3,3,4,3,4
1,2,4,3,3,1,4,4,4,1,4,1,1,4,1,1,2,73,3,1,2,3,65,1,2,1,32,10,1,1,1,1,1,5,3,3
2,3,2,3,3,2,2,4,4,1,4,1,4,4,4,2,2,60,6,1,2,4,41,1,2,2,49,10,2,5,2,1,1,3,4,4
2,1,1,1,1,1,1,4,4,2,4,2,4,3,2,1,2,64,8,1,1,99,41,2,1,1,34,10,3,1,2,4,4,2,1,1
2,2,2,2,2,3,2,4,4,3,4,3,1,4,3,1,2,60,7,1,1,4,41,2,2,2,32,10,2,1,2,2,3,4,2,2
1,3,2,1,2,2,2,4,4,1,4,1,3,4,3,1,2,70,8,1,1,5,51,2,1,1,32,10,4,5,2,2,4,5,2,2
2,3,3,3,1,2,3,4,4,3,4,4,4,4,4,1,1,34,5,1,1,2,41,2,2,2,33,10,4,1,3,3,2,5,3,4
1,1,1,1,1,1,1,4,4,2,4,3,3,2,4,1,2,46,5,1,1,5,41,2,2,1,46,10,4,1,1,4,4,3,1,1
4,2,4,3,3,3,4,4,4,4,4,3,1,4,4,2,2,56,7,1,1,3,22,2,2,2,35,10,5,1,1,3,4,3,3,3
2,2,3,3,3,1,1,1,4,1,4,4,4,1,3,1,2,54,5,1,1,4,41,1,2,1,33,10,2,1,2,1,3,5,1,3
1,3,3,3,3,3,1,4,4,4,4,2,4,3,2,2,2,45,6,1,3,5,41,2,2,2,31,10,3,1,2,3,4,2,3,3
1,4,2,2,4,2,3,3,4,1,4,1,3,4,3,2,2,38,6,1,1,1,41,1,2,1,35,10,4,3,2,3,4,3,3,2
3,4,3,3,4,3,2,3,4,2,4,4,4,2,1,1,2,47,6,1,4,3,41,1,1,1,49,10,3,4,4,3,2,5,3,3
5,4,3,3,3,4,4,2,4,1,4,4,4,4,1,2,2,41,7,1,1,4,41,2,2,1,33,10,1,5,4,2,2,3,4,3
3,3,4,3,1,3,3,2,4,1,4,4,4,4,1,2,2,48,6,1,1,2,26,2,2,1,32,10,3,5,3,2,4,5,3,4
5,4,3,4,3,2,1,3,4,3,4,4,4,4,3,2,2,52,4,1,2,2,61,1,2,2,33,10,4,5,5,3,3,3,4,3
4,2,2,2,2,2,2,3,4,2,4,2,3,4,1,2,2,71,3,1,1,99,41,2,2,2,31,10,3,3,3,3,2,5,3,3
1,3,1,2,1,3,3,4,1,4,4,4,4,4,3,1,1,28,3,1,1,3,17,1,1,1,32,10,5,4,3,3,4,1,2,1
4,3,3,3,2,3,2,3,4,1,4,1,3,4,3,2,1,39,6,1,1,1,41,2,2,2,44,10,3,3,2,3,3,5,3,3
3,3,1,1,1,3,1,3,4,1,3,1,1,3,1,2,3,57,4,1,2,1,41,2,2,2,35,10,3,5,3,1,1,5,3,3
1,3,3,2,2,2,4,4,4,3,4,2,4,4,4,2,2,41,4,1,2,4,22,2,2,1,33,10,4,5,3,3,4,4,2,2
2,3,3,3,3,3,1,2,4,2,3,2,4,3,2,1,2,68,8,1,1,3,35,2,1,1,44,10,3,3,3,3,4,3,3,4
1,4,3,4,3,2,3,2,4,1,4,3,4,4,4,1,1,31,4,1,1,2,24,2,2,2,44,10,5,5,1,4,2,3,3,2
1,1,1,1,1,1,3,3,4,2,4,1,1,4,4,1,2,62,7,99,99,99,41,1,2,1,44,10,5,1,2,1,4,5,1,1
4,1,3,2,3,4,4,2,4,4,4,4,4,4,3,2,2,81,4,1,1,99,41,1,2,2,33,10,3,3,4,4,4,3,2,3
1,3,2,2,3,1,1,4,4,4,4,2,4,4,4,1,2,63,5,1,1,4,26,2,2,1,32,10,2,5,1,3,2,5,1,2
1,1,2,1,1,1,1,4,4,1,4,1,4,4,2,1,2,70,5,1,1,4,69,2,1,1,34,10,2,1,1,1,4,5,1,4
3,3,1,3,3,3,3,3,4,4,4,4,4,4,4,2,2,46,4,1,2,3,41,2,2,2,35,10,3,1,3,3,4,5,3,2
2,3,3,3,3,2,2,3,4,2,4,3,3,4,1,1,2,60,7,1,3,2,41,2,1,2,49,10,3,5,3,4,3,5,3,3
1,3,3,2,3,1,2,2,4,2,2,2,4,4,3,1,2,56,6,1,1,4,41,2,1,2,33,10,1,1,1,2,4,2,2,2
2,2,4,4,4,2,2,1,4,4,4,1,4,4,1,1,2,59,4,1,1,3,41,1,2,2,31,10,3,3,3,4,4,2,3,3
2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,94,3,1,2,2,83,2,2,2,33,10,3,4,2,4,4,5,4,4
2,1,1,1,1,1,2,4,3,2,4,1,3,4,1,2,2,65,6,1,1,99,41,2,2,1,34,10,2,1,3,1,4,3,1,1
2,1,1,1,1,1,1,2,4,1,4,1,4,4,1,2,2,48,6,1,1,99,38,2,2,1,31,10,3,1,4,3,4,5,1,1
2,4,3,4,3,2,2,3,4,2,4,2,4,4,2,2,2,66,7,1,3,4,41,2,2,2,33,10,3,3,2,3,4,4,3,3
3,3,4,4,2,3,4,4,4,2,4,2,4,4,1,2,1,30,4,1,2,3,41,1,2,1,31,10,3,3,4,1,3,3,3,3
3,2,4,3,3,4,4,4,4,4,1,4,4,4,4,2,2,55,4,1,3,2,41,2,2,2,35,10,5,5,3,3,2,5,4,4
4,4,1,3,1,4,4,4,4,1,4,4,4,4,1,2,1,30,5,1,1,4,25,2,2,1,33,10,4,1,3,3,1,2,4,4
1,5,4,2,2,2,1,4,4,1,2,1,4,4,1,1,2,52,3,1,2,1,59,1,2,99,35,10,2,1,1,1,1,5,3,4
3,4,3,3,4,4,4,2,4,4,4,4,4,4,4,2,4,64,3,1,2,3,60,2,2,2,35,10,5,4,5,4,4,5,4,4
1,2,4,1,1,1,1,1,4,1,4,3,4,4,4,2,4,75,4,1,2,1,55,2,2,2,32,10,3,1,1,4,4,1,4,1
2,4,4,3,4,4,4,3,4,3,4,3,4,4,3,2,2,42,6,1,1,3,41,2,2,2,33,10,3,1,3,4,4,4,3,3
3,4,3,4,4,4,3,2,4,1,4,1,4,4,2,2,4,78,3,1,1,99,66,1,2,2,44,10,5,3,4,4,4,5,4,4
1,2,2,2,4,1,1,4,3,3,4,2,1,1,1,1,4,52,6,1,2,4,41,2,2,99,33,10,2,5,2,4,4,4,1,1
2,4,3,4,4,3,3,4,4,3,4,2,4,4,4,1,2,82,6,1,1,1,26,2,2,1,35,10,4,1,1,4,4,4,3,4
3,3,2,4,2,4,4,2,4,1,4,1,2,4,2,2,2,31,6,1,4,1,41,1,2,2,32,10,3,1,2,2,2,1,3,4
2,4,4,3,2,4,3,3,4,1,4,1,1,4,1,2,4,80,6,1,1,1,41,2,2,2,34,10,1,5,2,4,4,3,3,3
1,4,4,3,3,4,4,3,4,4,4,2,1,4,4,2,4,54,6,4,1,3,16,2,2,99,35,10,3,1,2,4,4,5,4,4
1,3,4,4,3,3,3,3,4,1,4,1,3,3,2,1,2,44,6,1,1,4,25,2,2,1,34,10,2,1,3,4,2,1,3,4
5,3,4,4,3,4,4,3,4,1,4,3,4,3,3,2,1,26,3,1,2,3,41,2,2,2,35,10,3,4,4,4,2,5,4,4
1,3,2,2,2,3,2,4,4,4,4,3,3,3,4,1,3,42,5,1,2,1,41,2,2,2,49,10,4,1,1,4,4,4,3,3
2,4,4,3,4,1,2,4,4,4,3,3,4,4,4,2,3,31,3,1,3,1,41,1,2,1,35,10,5,3,2,3,4,5,4,3
1,1,2,1,1,1,1,4,4,4,4,1,4,4,4,2,4,62,6,1,1,1,56,1,2,1,33,10,1,1,2,4,1,5,1,1
1,4,3,3,1,3,3,4,4,1,4,1,3,4,3,2,2,59,6,1,3,4,48,2,2,1,35,10,3,1,3,1,3,2,3,3
1,4,4,3,4,3,2,3,4,2,4,1,4,1,1,2,2,47,4,1,1,4,41,2,1,1,32,10,2,1,3,2,2,3,3,4
2,2,3,3,3,1,1,4,4,4,4,4,4,2,3,1,2,43,6,1,4,1,41,2,2,2,49,10,3,1,4,2,4,4,3,2
3,1,4,3,4,2,3,3,4,1,4,3,4,4,4,2,3,71,5,7,1,1,26,2,2,1,35,10,3,3,3,3,1,2,3,3
2,5,3,3,3,4,4,1,4,1,4,1,4,3,2,2,1,35,6,1,1,2,41,1,2,2,35,10,3,1,5,1,2,2,3,3
3,3,2,4,1,4,1,3,4,1,4,3,4,4,4,2,3,76,5,1,2,1,52,2,2,1,34,10,3,4,4,3,2,5,2,4
1,1,2,2,3,1,1,1,4,2,4,1,3,4,3,1,2,41,3,1,2,5,41,2,2,1,33,10,2,5,3,1,4,5,1,1
2,1,3,2,2,2,2,4,4,2,4,4,4,4,2,1,2,50,4,1,1,3,41,2,1,1,33,10,2,5,2,2,4,2,1,1
5,2,3,3,2,3,2,3,4,1,4,1,4,3,4,1,2,52,6,1,2,3,44,2,1,1,31,10,3,5,4,3,4,5,2,2
1,1,3,4,3,3,2,4,4,1,4,4,4,2,4,2,2,56,3,1,3,1,41,2,2,1,31,10,5,1,3,1,3,5,2,3
3,5,3,3,3,4,4,4,4,1,4,1,3,1,4,2,2,54,6,1,1,1,13,99,2,2,35,10,4,5,4,2,3,5,4,4
1,3,2,1,2,1,1,1,4,2,4,2,1,4,4,1,2,83,3,1,1,3,80,2,1,2,32,10,5,5,1,1,1,1,1,1
3,4,4,3,2,4,4,1,4,1,4,1,4,4,4,1,2,44,5,1,1,2,12,2,2,1,31,10,3,5,3,4,4,5,3,4
1,3,3,4,1,4,2,1,4,3,4,1,4,3,1,2,4,72,4,1,1,2,51,2,2,1,33,10,3,3,5,4,4,5,3,1
2,4,3,3,2,2,2,3,4,1,4,1,1,4,1,1,2,40,5,1,1,1,41,2,1,1,35,10,3,5,4,3,4,5,3,3
1,4,2,3,3,2,2,4,4,2,4,3,4,3,3,2,2,50,8,1,2,5,41,2,2,1,33,10,1,1,3,4,3,4,3,3
3,2,1,2,1,3,1,3,4,1,4,1,4,4,1,1,2,69,3,1,4,1,69,1,1,1,31,10,1,3,3,3,3,3,3,1
2,3,3,3,1,2,1,4,4,3,4,1,4,4,4,1,2,68,6,1,2,3,59,2,1,1,35,10,4,3,2,2,3,4,2,3
4,1,1,1,1,4,4,1,1,3,4,1,1,1,3,2,1,44,6,4,1,1,26,2,2,1,32,10,1,3,1,3,4,1,1,1
2,3,4,3,3,3,4,3,1,1,2,1,4,4,3,2,4,92,6,1,1,3,68,2,1,2,32,10,3,4,1,2,2,5,1,2
1,3,3,3,4,2,3,3,4,1,3,4,4,4,3,1,4,81,6,1,1,2,41,2,1,1,32,10,1,1,2,4,4,5,3,4
1,1,1,1,1,1,4,4,3,1,4,4,4,4,4,1,1,36,6,1,1,3,26,2,2,1,35,10,4,1,2,1,4,1,1,1
4,3,4,3,4,4,4,4,4,2,3,3,3,4,2,2,2,66,5,1,2,1,66,2,1,1,31,10,3,3,4,3,3,4,4,4
1,4,2,2,3,4,1,3,4,4,3,4,4,4,3,2,2,69,5,1,3,2,61,1,2,2,49,10,3,1,1,4,3,5,3,2
1,3,1,2,3,2,3,4,4,1,4,2,1,4,3,2,2,48,6,1,2,99,41,2,2,1,31,10,3,1,3,3,4,3,2,2
1,5,4,3,3,4,4,3,4,3,4,4,4,3,3,1,2,66,3,1,1,4,41,1,2,1,44,10,1,1,3,4,4,5,3,4
2,5,4,4,3,3,3,3,4,1,3,4,4,4,4,1,1,58,5,1,1,1,41,1,2,1,31,10,2,3,3,4,4,5,4,2
1,5,4,4,3,1,1,3,4,4,4,1,4,4,4,1,2,61,3,1,2,3,46,1,2,1,35,10,3,5,2,3,4,5,3,4
1,4,3,3,4,2,2,4,4,2,2,4,4,4,4,2,3,56,7,1,2,3,41,2,2,2,35,10,1,1,4,4,4,4,3,3
3,3,3,2,1,3,4,3,4,3,3,3,3,4,1,1,3,37,3,1,1,3,26,2,2,2,32,10,3,3,5,3,4,3,3,3
1,5,4,4,3,3,3,3,4,1,4,1,1,4,1,1,3,46,4,1,1,3,41,2,1,1,32,10,3,1,3,1,4,5,4,1
4,3,3,2,4,1,1,4,4,3,3,4,3,4,3,2,2,31,4,1,2,1,26,2,2,1,31,10,3,5,3,2,2,4,3,4
3,2,2,1,1,3,4,3,4,1,4,1,1,4,4,2,2,53,7,7,2,2,18,2,2,1,32,10,5,1,2,4,3,4,4,4
1,5,3,4,4,2,1,1,4,2,4,4,4,4,4,1,2,81,1,1,1,1,67,2,2,2,31,10,1,1,1,4,3,1,4,4
3,5,4,4,3,4,4,4,4,1,4,1,2,3,1,2,3,60,7,1,1,4,25,2,2,2,44,10,3,1,3,1,4,5,3,4
2,3,3,3,4,4,3,2,4,3,4,1,3,4,4,1,2,54,5,1,1,3,41,2,2,1,31,10,1,5,2,3,2,5,2,3
2,3,3,4,3,4,4,2,4,4,4,3,4,3,2,2,1,32,4,1,2,5,41,2,2,1,31,10,3,4,1,3,4,3,2,3
1,1,1,1,2,1,3,3,1,4,3,4,1,3,4,1,2,39,3,1,1,2,25,2,2,2,35,10,2,5,2,1,4,1,3,1
3,5,1,1,3,4,4,1,1,1,4,4,4,4,4,1,1,32,2,1,1,1,20,2,2,1,31,10,4,5,3,4,3,1,1,3
2,4,3,3,3,4,4,3,4,4,4,2,2,3,2,2,2,39,7,1,1,4,41,2,2,2,32,10,3,3,2,1,4,4,4,4
3,5,4,3,4,2,4,1,4,1,4,4,1,4,1,1,1,52,3,1,1,3,41,2,2,2,31,10,5,5,5,4,4,5,4,4
1,1,1,1,1,3,1,4,4,1,3,3,1,4,4,2,3,41,4,1,1,3,23,2,2,2,35,10,2,1,1,3,2,5,3,1
1,5,3,3,4,4,4,3,4,1,4,4,3,2,4,1,2,88,6,7,99,1,26,2,2,2,32,10,3,5,2,4,1,5,3,4
1,2,3,3,2,2,2,2,4,2,4,4,2,4,1,1,2,66,6,1,1,2,41,2,1,1,58,10,2,1,2,3,3,4,3,3
1,1,3,1,1,1,1,4,4,1,4,4,4,4,3,1,2,67,8,1,2,5,41,2,1,1,33,10,1,1,3,2,4,5,1,1
3,2,2,3,3,1,2,3,4,1,3,4,4,4,2,1,2,67,5,1,2,3,41,1,2,2,32,10,4,1,2,3,4,5,2,2
1,1,1,1,1,1,1,4,4,4,4,4,3,4,4,2,2,42,4,7,99,1,16,2,2,1,32,10,1,1,1,4,4,1,1,1
1,1,3,3,3,1,1,4,4,4,4,3,4,4,4,1,2,45,5,1,4,2,41,2,2,1,49,10,3,1,3,4,3,1,1,1
1,3,1,3,3,1,4,3,4,1,4,1,4,4,1,1,2,68,5,1,2,2,65,1,2,2,31,10,1,1,1,1,4,1,2,3
1,2,3,3,4,3,3,4,4,1,4,1,2,1,1,2,2,56,6,1,2,4,41,2,2,2,33,10,1,5,4,1,2,3,2,3
1,4,4,3,4,3,2,4,4,1,4,1,1,3,4,1,2,49,6,1,1,1,41,2,1,1,46,10,2,5,3,1,3,5,3,4
2,3,3,3,4,4,4,4,4,2,4,2,4,4,2,2,2,44,4,1,2,3,41,2,2,2,32,10,5,5,3,3,3,1,4,4
1,2,2,3,4,1,1,4,4,1,4,2,4,2,3,1,2,60,6,1,1,4,41,1,2,2,35,10,3,1,1,4,2,5,1,2
3,1,1,1,1,1,1,4,4,1,4,2,1,1,4,2,3,71,2,1,1,1,41,2,2,1,33,10,3,3,3,1,4,5,1,1
1,5,3,1,3,4,4,4,4,2,4,4,3,4,1,2,2,44,5,7,1,2,14,2,2,2,33,10,5,3,3,4,3,5,4,4
2,5,4,4,4,4,4,4,4,1,4,1,4,2,1,1,2,51,6,1,1,5,41,1,2,2,33,10,1,5,4,4,2,5,4,4
4,5,3,3,4,3,3,4,4,3,3,3,3,4,1,1,2,66,3,1,3,1,41,2,1,1,31,10,2,4,3,3,4,4,3,4
2,5,3,3,3,1,3,2,4,4,4,2,4,4,2,1,2,77,3,1,2,2,68,1,2,2,33,10,3,5,4,3,2,5,2,2
1,2,3,3,3,1,4,3,4,2,4,1,4,4,3,2,2,89,3,1,1,2,41,1,2,2,33,10,4,1,2,4,4,4,3,4
2,1,3,3,1,1,3,3,4,2,2,4,4,2,2,1,2,37,4,1,1,3,41,2,2,2,32,10,2,3,3,1,3,5,3,1
1,1,3,2,3,1,3,3,4,2,4,4,4,2,1,1,2,49,3,1,1,3,41,2,2,1,34,10,3,1,2,3,3,5,2,2
1,3,2,3,3,2,3,4,4,1,4,1,1,4,3,2,2,51,7,1,1,4,41,2,1,2,31,10,3,1,2,3,4,3,3,3
1,1,1,2,2,1,1,2,4,1,1,1,4,3,1,2,2,55,3,1,2,3,53,1,1,1,31,10,1,1,3,3,4,3,2,4
3,4,3,4,4,2,3,4,4,1,4,1,4,1,4,1,2,53,4,1,1,3,41,1,2,2,33,10,4,1,4,4,1,5,3,4
5,1,4,3,1,4,1,1,1,1,4,4,4,3,4,2,3,78,4,1,3,1,46,2,2,1,35,10,3,5,5,3,1,5,3,3
1,1,1,1,1,1,2,4,4,1,4,4,4,4,1,2,3,41,5,1,1,1,41,2,2,1,32,10,3,3,2,3,4,5,2,1
2,3,3,4,4,3,4,4,4,4,4,4,4,3,3,1,2,38,5,1,2,4,41,2,2,2,35,10,3,1,3,3,4,4,4,4
1,3,4,4,3,1,1,3,4,1,1,4,4,1,1,2,2,41,6,1,1,3,41,2,2,1,33,10,2,1,3,3,4,5,2,1
1,4,4,4,3,2,2,4,4,1,4,2,4,3,3,2,2,56,7,1,1,99,41,1,1,2,33,10,3,5,3,3,4,5,3,3
1,1,3,3,3,1,1,2,4,1,3,3,3,4,1,2,3,52,3,1,1,1,41,1,2,2,35,10,1,1,3,3,1,5,2,1
1,3,4,4,4,2,1,4,4,4,4,4,4,3,1,1,2,61,6,1,2,4,41,2,1,2,33,10,1,1,1,3,4,5,2,3
1,3,2,3,3,1,2,4,4,3,3,3,4,4,4,2,3,41,6,1,2,1,18,2,2,1,35,10,2,5,1,4,4,5,3,2
1,1,2,2,1,2,2,1,4,2,4,3,4,4,4,1,2,78,5,1,1,1,43,2,1,1,33,10,1,1,2,4,4,1,2,3
2,4,4,2,2,1,2,4,4,4,3,4,4,2,4,1,1,28,4,1,1,2,41,2,2,2,34,10,2,5,3,3,4,4,2,2
1,5,3,3,4,3,3,3,4,1,4,1,4,4,1,1,2,76,7,1,1,1,26,2,2,1,35,10,3,1,3,4,3,4,4,4
2,3,2,2,2,3,3,3,4,2,4,2,4,4,2,2,3,40,6,1,1,1,41,2,2,2,33,10,3,5,2,2,3,5,3,3
1,2,2,3,1,1,1,4,4,4,4,4,4,3,1,1,2,71,3,1,1,2,41,1,1,1,34,10,1,1,2,1,2,4,2,1
3,3,3,1,3,1,2,4,4,1,4,2,4,1,3,2,3,69,8,1,1,3,39,2,2,2,44,10,4,3,4,3,3,3,2,3
2,3,4,4,4,4,3,4,4,2,4,1,3,3,1,2,4,67,4,1,2,1,53,1,2,2,32,10,3,5,3,2,2,4,4,4
2,2,3,2,2,1,1,4,4,1,4,1,4,1,1,1,2,52,5,1,2,4,41,2,1,2,33,10,4,1,1,4,2,5,1,1
1,3,1,3,1,4,4,3,3,3,4,1,3,4,4,1,1,31,4,1,1,5,41,2,2,2,57,8,1,4,4,3,4,5,3,3
3,4,4,3,3,4,4,3,4,2,4,2,4,4,2,2,1,27,4,1,1,3,41,1,2,2,57,8,3,1,2,3,3,2,4,4
