Q35,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q53,Q54,Q55,Q56,Q57,Q59,Q60,Q63,Q64,Q65,Q66,Q69,Q70,Q32,Q33,Q34,Q20,Q21,Q38,Q8,Q13
3,3,2,1,3,3,3,4,3,1,3,3,4,3,1,1,2,57,5,1,1,3,55,2,1,1,5,2,3,5,5,4,1,3,3,4
2,3,3,4,2,1,2,3,2,4,3,2,4,4,2,1,1,35,4,1,2,2,41,2,2,2,5,2,2,4,4,3,3,3,3,3
2,2,2,2,2,1,1,4,4,1,4,1,4,4,4,1,2,48,3,1,3,4,41,2,1,1,5,2,4,5,2,3,2,1,2,1
3,3,3,4,3,1,1,2,4,1,4,4,4,2,1,1,2,75,6,1,2,5,60,2,1,1,5,2,2,5,4,4,4,5,3,4
2,3,4,3,2,3,1,4,4,3,3,1,4,4,4,2,4,69,7,1,2,1,25,2,2,2,5,2,3,1,2,4,3,5,3,4
3,2,2,1,3,1,2,3,4,1,4,1,3,3,4,1,2,41,7,1,2,4,41,1,2,1,5,2,3,1,3,3,1,5,2,2
4,3,3,1,1,4,4,3,4,2,4,3,4,4,1,1,2,42,4,1,1,3,25,2,2,1,5,2,2,1,4,1,3,3,4,4
1,1,1,3,1,4,1,2,4,3,4,4,4,4,1,1,2,61,3,1,3,1,41,1,2,2,5,2,2,1,2,1,3,2,1,1
3,3,4,3,3,1,1,2,4,1,4,2,4,4,4,2,1,31,4,1,1,2,26,2,2,2,5,2,4,4,3,2,3,1,3,2
1,1,2,2,1,1,1,3,4,2,4,4,4,4,3,1,2,44,3,1,1,5,41,2,2,1,5,2,1,1,1,1,4,4,2,2
1,5,4,3,3,1,1,1,4,1,4,1,4,1,1,1,2,46,5,1,2,3,41,2,2,1,5,2,3,1,1,1,4,3,1,3
4,3,2,1,2,3,3,3,3,3,3,3,1,3,1,2,1,28,4,1,2,1,25,2,2,1,5,2,4,3,3,3,2,5,2,3
3,5,3,4,4,3,4,4,4,1,4,1,1,4,1,2,2,57,4,1,2,4,55,2,2,2,5,2,3,3,3,2,2,5,4,4
1,2,1,1,1,1,1,4,2,2,3,4,3,4,4,2,2,47,7,1,1,1,20,2,2,2,5,2,4,5,4,3,1,5,2,2
2,3,3,3,3,1,2,1,4,3,3,2,4,3,2,2,4,79,6,1,1,3,41,2,1,1,5,2,3,1,2,2,4,5,3,3
2,3,2,3,4,2,2,4,4,4,4,3,2,4,2,2,2,45,6,1,2,1,41,1,2,2,5,2,4,1,3,1,3,3,3,3
2,4,4,3,3,4,3,4,4,2,4,2,2,4,4,2,2,68,7,1,1,2,25,2,2,2,5,2,4,3,3,3,3,3,4,4
1,1,1,1,2,1,1,2,4,3,4,1,1,4,4,2,2,68,6,1,2,1,63,2,2,1,5,2,2,1,1,2,1,1,1,1
1,4,2,2,3,1,1,3,4,1,4,1,3,4,2,2,2,56,7,1,2,4,48,1,2,2,5,2,4,1,2,3,4,3,3,3
2,4,2,4,2,4,4,1,4,4,4,4,4,3,4,1,1,28,4,1,2,1,23,1,2,1,5,2,4,1,1,3,4,4,3,3
